parameter,mean_result
"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8148234155840415
"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.81630891660263
"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8155358406171374
"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.8149402810313074
"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.8157573416581546
"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.8150617246878209
"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.8159870149370047
"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.8144018908533196
"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.8165014101963455
"{'max_depth': 27, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.783798056376512
"{'max_depth': 27, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7868331102606829
"{'max_depth': 27, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7899758394830186
"{'max_depth': 27, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.7881071702420587
"{'max_depth': 27, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.7885986483544972
"{'max_depth': 27, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7912153418584557
"{'max_depth': 27, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.7923040415901801
"{'max_depth': 27, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.7923515810545206
"{'max_depth': 27, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.7929674274082648
"{'max_depth': 50, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7833699875869962
"{'max_depth': 50, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7861602250024133
"{'max_depth': 50, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7898670733227778
"{'max_depth': 50, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.78890585829525
"{'max_depth': 50, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.7890702292432317
"{'max_depth': 50, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7910466946607837
"{'max_depth': 50, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.792775027405631
"{'max_depth': 50, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.7927281190531468
"{'max_depth': 50, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.7932451007899416
"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7836438427910856
"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7867160088153687
"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.789829017135868
"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.7884248963475822
"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.7888988775144775
"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7909430700036051
"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.7927605417558705
"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.7925713328050524
"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.7925523033465
"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7817640447296158
"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7830964589142189
"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7824465956423364
"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.7826331947452321
"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.782416721631169
"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7817847812152365
"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.7841529787121513
"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.7829968165193424
"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.7826848029644496
"{'max_depth': 27, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7465087808904507
"{'max_depth': 27, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7498642214004851
"{'max_depth': 27, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7509662344362737
"{'max_depth': 27, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.7561038637890539
"{'max_depth': 27, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.7551256162767416
"{'max_depth': 27, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7561626105943098
"{'max_depth': 27, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.765123990190124
"{'max_depth': 27, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.7647354939377735
"{'max_depth': 27, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.7660268640101525
"{'max_depth': 50, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7476037344612496
"{'max_depth': 50, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.749179343051204
"{'max_depth': 50, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7498489532768622
"{'max_depth': 50, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.7557936118651276
"{'max_depth': 50, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.7560005275496661
"{'max_depth': 50, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7569972958306141
"{'max_depth': 50, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.7653397962629656
"{'max_depth': 50, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.7662193019078918
"{'max_depth': 50, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.7654693458681798
"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7465032707564708
"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7485607097144914
"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7513028546918896
"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.7548310777166249
"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.7559343320082295
"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7574931632228123
"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.7660377819504067
"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.7660588065261947
"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.7650857359002712
