parameter,mean_result
"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8148234155840415
"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.81630891660263
"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8155358406171374
"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.8149402810313074
"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.8157573416581546
"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.8150617246878209
"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.8159870149370047
"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.8144018908533196
"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.8165014101963455
"{'max_depth': 27, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.783798056376512
"{'max_depth': 27, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7868331102606829
"{'max_depth': 27, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7899758394830186
"{'max_depth': 27, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.7881071702420587
"{'max_depth': 27, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.7885986483544972
"{'max_depth': 27, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7912153418584557
"{'max_depth': 27, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.7923040415901801
"{'max_depth': 27, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.7923515810545206
"{'max_depth': 27, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.7929674274082648
"{'max_depth': 50, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7833699875869962
"{'max_depth': 50, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7861602250024133
"{'max_depth': 50, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7898670733227778
"{'max_depth': 50, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.78890585829525
"{'max_depth': 50, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.7890702292432317
"{'max_depth': 50, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7910466946607837
"{'max_depth': 50, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.792775027405631
"{'max_depth': 50, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.7927281190531468
"{'max_depth': 50, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.7932451007899416
"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7836438427910856
"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7867160088153687
"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.789829017135868
"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.7884248963475822
"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.7888988775144775
"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7909430700036051
"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.7927605417558705
"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.7925713328050524
"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.7925523033465
